Time(s),CH1V
1.400000e+00,2.579373e-02
1.402500e+00,3.393450e-01
1.405000e+00,6.071693e-01
1.407500e+00,8.274724e-01
1.410000e+00,9.536106e-01
1.412500e+00,9.940752e-01
1.415000e+00,9.435642e-01
1.417500e+00,7.843367e-01
1.420000e+00,5.642329e-01
1.422500e+00,2.730468e-01
1.425000e+00,-3.133520e-02
1.427500e+00,-3.428932e-01
1.430000e+00,-6.075680e-01
1.432500e+00,-8.341302e-01
1.435000e+00,-9.645340e-01
1.437500e+00,-9.968659e-01
1.440000e+00,-9.452785e-01
1.442500e+00,-7.954595e-01
1.445000e+00,-5.593691e-01
1.447500e+00,-2.740833e-01
1.450000e+00,3.229200e-02
1.452500e+00,3.312920e-01
1.455000e+00,6.025846e-01
1.457500e+00,8.219709e-01
1.460000e+00,9.518166e-01
1.462500e+00,9.918029e-01
1.465000e+00,9.339563e-01
1.467500e+00,7.850145e-01
1.470000e+00,5.576549e-01
1.472500e+00,2.841696e-01
1.475000e+00,-3.823213e-02
1.477500e+00,-3.375112e-01
1.480000e+00,-6.121526e-01
1.482500e+00,-8.229277e-01
1.485000e+00,-9.566405e-01
1.487500e+00,-1.000932e+00
1.490000e+00,-9.471522e-01
1.492500e+00,-7.978914e-01
1.495000e+00,-5.602861e-01
1.497500e+00,-2.839304e-01
1.500000e+00,3.384680e-02
1.502500e+00,3.330860e-01
1.505000e+00,6.062125e-01
1.507500e+00,8.267150e-01
1.510000e+00,9.589926e-01
1.512500e+00,9.984207e-01
1.515000e+00,9.357902e-01
1.517500e+00,7.829414e-01
1.520000e+00,5.702129e-01
1.522500e+00,2.819769e-01
1.525000e+00,-2.758773e-02
1.527500e+00,-3.433716e-01
1.530000e+00,-6.173751e-01
1.532500e+00,-8.242831e-01
1.535000e+00,-9.676835e-01
1.537500e+00,-9.978227e-01
1.540000e+00,-9.495841e-01
1.542500e+00,-7.944230e-01
1.545000e+00,-5.618010e-01
1.547500e+00,-2.782693e-01
1.550000e+00,3.105613e-02
1.552500e+00,3.382288e-01
1.555000e+00,6.077673e-01
1.557500e+00,8.183430e-01
1.560000e+00,9.597501e-01
1.562500e+00,9.973842e-01
1.565000e+00,9.414911e-01
1.567500e+00,7.852138e-01
1.570000e+00,5.627180e-01
1.572500e+00,2.793457e-01
1.575000e+00,-2.782693e-02
1.577500e+00,-3.333252e-01
1.580000e+00,-6.058537e-01
1.582500e+00,-8.231270e-01
1.585000e+00,-9.557235e-01
1.587500e+00,-1.002726e+00
1.590000e+00,-9.455177e-01
1.592500e+00,-7.975725e-01
1.595000e+00,-5.671431e-01
1.597500e+00,-2.870400e-01
1.600000e+00,3.464413e-02
1.602500e+00,3.388667e-01
1.605000e+00,6.143851e-01
1.607500e+00,8.163098e-01
1.610000e+00,9.579162e-01
1.612500e+00,1.000454e+00
1.615000e+00,9.356307e-01
1.617500e+00,7.881241e-01
1.620000e+00,5.594489e-01
1.622500e+00,2.731664e-01
1.625000e+00,-2.938173e-02
1.627500e+00,-3.422154e-01
1.630000e+00,-6.185712e-01
1.632500e+00,-8.316585e-01
1.635000e+00,-9.585142e-01
1.637500e+00,-1.005437e+00
1.640000e+00,-9.400958e-01
1.642500e+00,-7.897187e-01
1.645000e+00,-5.546649e-01
1.647500e+00,-2.782294e-01
1.650000e+00,2.559440e-02
1.652500e+00,3.328866e-01
1.655000e+00,6.121925e-01
1.657500e+00,8.250406e-01
1.660000e+00,9.602284e-01
1.662500e+00,9.898494e-01
1.665000e+00,9.338766e-01
1.667500e+00,7.942635e-01
1.670000e+00,5.602861e-01
1.672500e+00,2.701365e-01
1.675000e+00,-2.507613e-02
1.677500e+00,-3.358766e-01
1.680000e+00,-6.080065e-01
1.682500e+00,-8.282698e-01
1.685000e+00,-9.606670e-01
1.687500e+00,-1.003524e+00
1.690000e+00,-9.507800e-01
1.692500e+00,-7.917519e-01
1.695000e+00,-5.733624e-01
1.697500e+00,-2.769537e-01
1.700000e+00,3.193320e-02
1.702500e+00,3.300561e-01
1.705000e+00,6.088836e-01
1.707500e+00,8.185822e-01
1.710000e+00,9.599892e-01
1.712500e+00,9.981018e-01
1.715000e+00,9.363084e-01
1.717500e+00,7.933067e-01
1.720000e+00,5.655485e-01
1.722500e+00,2.745219e-01
1.725000e+00,-2.862426e-02
1.727500e+00,-3.370328e-01
1.730000e+00,-6.099600e-01
1.732500e+00,-8.245622e-01
1.735000e+00,-9.573581e-01
